expression,full form,shorthand,kboth,kneither,contrast,stative,negated_p,Kp,question,fc,can_express,evidence,negation,comments
juxtaposition,juxtaposition,disj-spk,0,0,,1,0,1,0,0,0,hausa-con-evid38,neither,
juxtaposition,juxtaposition,disj-nspk-epi,0,0,1,0,0,0,0,0,,,neither,
juxtaposition,juxtaposition,disj-nspk-sta-exc,0,0,,1,0,0,0,0,0,hausa-con-evid59,neither,
juxtaposition,juxtaposition,disj-nspk-sta-inc,?,0,,1,0,0,0,0,,,neither,
juxtaposition,juxtaposition,disj-nspk-q-exc,0,0,1,1,0,0,1,0,,,neither,
juxtaposition,juxtaposition,disj-nspk-q-inc,?,0,,1,0,0,1,0,,,neither,
juxtaposition,juxtaposition,neither-sta,0,1,,1,0,0,0,0,0,hausa-con-evid64,neither,
juxtaposition,juxtaposition,neither-epi,0,1,,0,1,0,0,0,,,neither,
juxtaposition,juxtaposition,fc,0,0,,0,0,0,0,1,,,neither,
juxtaposition,juxtaposition,negative,0,1,,1,,0,0,0,,,neither,
